gene,cancer_related,label,cancer_pathway,protein_type,subcellular_location,description
GTF3C4,No,Tumor Suppressor,Transcription Regulation,General transcription factor,Nucleus,Plays a role in shaping transcriptional machinery.
AK8,No,Unknown,,Unknown,Unknown,Limited information available on its function.
SPACA9,No,Oncogene,Germ Cell Development,Protein,Cytoplasm,Involved in sperm motility and fertilization processes.
TSC1,Yes,Tumor Suppressor,Mtor Signaling,Protein,"Cytoplasm, Nucleus",Regulates cell growth and prevents tumor formation
GFI1B,No,Oncogene,Hematopoiesis,Transcription Factor,Nucleus,Regulates gene expression in blood cell development
MIR548AW,No,N/A,Micrornas,Non-coding RNA,Cytoplasm,Involved in post-transcriptional regulation of gene expression
RNU7-21P,No,N/A,Rna Processing,Non-coding RNA,Nucleus,Involved in splicing and RNA processing
EEF1A1P5,No,N/A,Protein Synthesis,Protein,Cytoplasm,Role in translation in protein synthesis
GTF3C5,No,N/A,Transcription,Protein,Nucleus,Role in RNA polymerase III transcription
CEL,No,N/A,Metabolism,Enzyme,Cytoplasm,Involved in lipid metabolism (carbohydrate and fat digestion)
CELP,No,N/A,Metabolism,Enzyme,Cytoplasm,Involved in lipid metabolism
RALGDS,No,N/A,Rho Gtpase Signaling,Protein,Cytoplasm,"Regulates signaling pathways, acts in cell proliferation"
GBGT1,No,N/A,Glycosylation,Enzyme,Endoplasmic Reticulum,Involved in glycosylation processes
OBP2B,No,N/A,Chemical Signaling,Protein,Cytoplasm,"Mediates olfactory signaling, binds volatile compounds"
LCN1P1,No,N/A,Lipid Metabolism,Protein,Cytoplasm,Involved in lipid binding and transport
ABO,No,N/A,Blood Group Antigen,Enzyme,Plasma Membrane,Encodes an enzyme that modifies carbohydrate antigens
LCN1P2,No,N/A,Lipid Metabolism,Protein,Cytoplasm,Involved in lipid binding and transport
SURF6,No,N/A,Ribosome Biogenesis,Protein,Nucleus,Involved in ribosomal RNA processing
MED22,No,N/A,Transcription,Protein,Nucleus,"Part of the mediator complex, regulates transcription"
RPL7A,No,N/A,Translation,Ribosomal Protein,Cytoplasm,"Component of the ribosome, essential for protein synthesis"
SNORD24,No,N/A,Rna Processing,Non-coding RNA,Nucleus,Involved in the biogenesis of ribosomes
SNORD36B,No,N/A,Rna Processing,Non-coding RNA,Nucleus,Part of the small nucleolar RNAs involved in rRNA modification
SNORD36A,No,N/A,Rna Processing,Non-coding RNA,Nucleus,Involved in rRNA processing and modification
SNORD36C,No,Neither,,Small nucleolar RNA (snoRNA),Nucleus,Involved in rRNA modification.
SURF1,Yes,Oncogene,Mitochondrial Dysfunction,Protein,Mitochondria,Plays a role in mitochondrial complex IV assembly.
SURF2,Yes,Oncogene,Mitochondrial Dysfunction,Protein,Mitochondria,Involved in mitochondrial RNA processing.
SURF4,No,Neither,,Protein,Endoplasmic reticulum,Role in protein processing within ER.
STKLD1,No,Neither,Cell Signaling,Kinase,Cytoplasm,Potential role in cell proliferation and signaling
REXO4,No,Neither,,RNA exonuclease,Nucleus,Involved in RNA processing and metabolism.
ADAMTS13,No,Neither,Hemostasis,Metalloproteinase,Plasma,"Regulates von Willebrand Factor, role in blood coagulation."
CACFD1,No,Neither,,Protein,Nucleus,Potential role in transcription regulation.
SLC2A6,No,Neither,Glucose Transport,Transporter,Plasma membrane,Involved in glucose transport across membranes.
MYMK,No,Neither,Cell Growth/Proliferation,Myosin kinase,Cytoplasm,May play a role in muscle contraction and signaling.
ADAMTSL2,No,Neither,Ecm Remodeling,Secreted protein,Extracellular matrix,Involved in extracellular matrix remodeling.
FAM163B,No,Neither,,Protein,Nucleus,Role in cellular processes yet to be fully elucidated.
DBH,No,Neither,Catecholamine Synthesis,Enzyme,Cytoplasm,Involved in dopamine and norepinephrine metabolism.
DBH-AS1,No,Neither,,Long non-coding RNA,Nucleus,Possible regulatory role in gene expression.
SARDH,No,Neither,,Enzyme,Cytoplasm,Involved in sarcosine metabolism and amino acid metabolism.
VAV2,No,Oncogene,Signal Transduction,Protein,Cytoplasm,Functions as a guanine nucleotide exchange factor (GEF).
BRD3OS,No,Neither,,Long non-coding RNA,Nucleus,Associated with gene regulation and chromatin remodeling.
BRD3,No,Oncogene,Cell Cycle Regulation,Bromodomain protein,Nucleus,Involved in transcription regulation and cell cycle.
ARF4P1,No,Neither,,Protein,Cytoplasm,Role in cellular processes is not fully understood.
WDR5-DT,Yes,Neither,Cancer Epigenetics,Long non-coding RNA,Nucleus,Potential role in regulating gene transcription through epigenetic mechanisms.
WDR5,Yes,Oncogene,Wnt/Β-Catenin Signaling,Protein,Nucleus,Plays a role in transcriptional regulation and chromatin remodeling.
RNU6ATAC,No,-,Non-Coding Rna Network,Non-coding RNA,Nucleus,Involved in small nuclear RNA functions and spliceosomal activity.
LINC02247,No,-,Various,Long non-coding RNA,Nucleus,Potential regulatory role in gene expression.
RXRA,Yes,Oncogene,Retinoic Acid Signaling,Protein,Nucleus,"Functions as a nuclear receptor for retinoic acid, influencing gene expression."
MIR4669,No,-,Non-Coding Rna Network,MicroRNA,Cytoplasm,Regulates gene expression post-transcriptionally by targeting mRNA.
COL5A1,No,-,Ecm-Related ,Collagen,Extracellular matrix,Structural role in connective tissues; involved in fibrosis.
COL5A1-AS1,No,-,Ecm-Related ,Long non-coding RNA,Nucleus,Regulatory function in COL5A1 expression and possibly other targets.
MIR3689C,No,-,Non-Coding Rna Network,MicroRNA,Cytoplasm,"Modulates gene expression, potentially involved in cell proliferation."
MIR3689A,No,-,Non-Coding Rna Network,MicroRNA,Cytoplasm,"Involved in gene regulation, may play a role in cancer biology."
MIR3689D1,No,-,Non-Coding Rna Network,MicroRNA,Cytoplasm,"Similar to other miRNAs, involved in post-transcriptional regulation."
MIR3689B,No,-,Non-Coding Rna Network,MicroRNA,Cytoplasm,"Functions to regulate target mRNAs, may impact cellular pathways."
MIR3689D2,No,-,Non-Coding Rna Network,MicroRNA,Cytoplasm,Regulates gene expression via miRNA machinery.
MIR3689E,No,-,Non-Coding Rna Network,MicroRNA,Cytoplasm,"Functions in regulatory networks, impacting various biological processes."
MIR3689F,No,-,Non-Coding Rna Network,MicroRNA,Cytoplasm,"Like other miRNAs, contributes to post-transcriptional gene regulation."
FCN2,No,-,Immune Response,Protein,Extracellular matrix,Plays a role in the immune system by binding to pathogens and activating complement.
FCN1,No,-,Immune Response,Protein,Extracellular matrix,"Similar to FCN2, involved in pathogen recognition and immune response."
OLFM1,No,-,Developmental Signaling,Protein,Nucleus,Functions in cell differentiation and may have roles in cancer.
LINC02907,No,-,Various,Long non-coding RNA,Nucleus,"Involved in the regulation of gene expression, potentially related to cancer."
SOCS5P2,No,-,Cytokine Signaling,Protein,Cytoplasm,Negative regulator of intracellular signaling pathways; involved in immune response.
PPP1R26-AS1,No,-,Regulatory ,Long non-coding RNA,Nucleus,"Involved in the regulation of PPP1R26, may participate in tumorigenesis."
DNLZ,No,Tumor Suppressor,,Protein,Nucleus,Plays a role in mRNA processing and stability.
CARD9,Yes,Oncogene,Nf-Κb Signaling,Protein,Cytoplasm,Mediates innate immune responses; involved in inflammation
SNAPC4,No,Neither,,Protein,Nucleus,Part of the SNAP complex involved in RNA polymerase II transcription.
ENTR1,No,Neither,,Protein,Cell membrane,Involved in L-tryptophan transport across cell membranes.
PMPCA,No,Neither,,Enzyme,Mitochondria,Plays a crucial role in protein maturation and energy metabolism.
INPP5E,No,Tumor Suppressor,Phosphoinositide Signaling,Lipid phosphatase,Cytoplasm,Regulates signaling pathways by dephosphorylating phosphoinositides.
SEC16A,No,Neither,Er-To-Golgi Transport,Protein,Endoplasmic reticulum,Involved in endoplasmic reticulum exit site formation.
C9orf163,No,Neither,,Protein,Unknown,Function largely unknown; implicated in disease mechanisms.
NOTCH1,Yes,Oncogene,Notch Signaling,Receptor,Cell membrane,Involved in cell differentiation and proliferation.
MIR4673,No,Neither,Microrna ,RNA,Cytoplasm,Regulates gene expression post-transcriptionally.
MIR4674,No,Neither,Microrna ,RNA,Cytoplasm,Similar to MIR4673; involved in post-transcriptional regulation.
NALT1,No,Neither,,Protein,Cytoplasm,Thought to play a role in cellular metabolism and stress response.
EGFL7,No,Neither,Angiogenesis And Cell Adhesion,Protein,Extracellular matrix,Involved in vascular development and tissue repair.
MIR126,No,Neither,Vascular Development,RNA,Cytoplasm,Regulates endothelial cell function and angiogenesis.
AGPAT2,No,Neither,Lipid Metabolism,Enzyme,Endoplasmic reticulum,Plays a key role in the biosynthesis of phospholipids.
DIPK1B,No,Neither,,Kinase,Cytoplasm,Involved in the regulation of cellular signaling pathways.
SNHG7,No,Neither,Cancer-Related Processes,RNA,Nucleus,Functions as a competing endogenous RNA in cancer-related pathways.
LCN10,No,Neither,,Protein,Secreted,Involved in lipid binding and transport.
LCN6,No,Neither,,Protein,Secreted,Involved in cutaneous lipid metabolism and skin defense.
LCN8,No,Neither,,Protein,Secreted,Functions similarly to other LCNs in lipid transport.
LCN15,No,Neither,,Protein,Extracellular,Involved in lipid binding and transport.
ATP6V1G1P3,No,Neither,,Protein,Membrane,"Involved in proton transport, part of the V-ATPase complex."
TMEM141,No,Oncogene,,Protein,Endoplasmic reticulum,Potentially involved in tumorigenesis; function not fully understood.
CCDC183,No,Unknown,,Protein,Unknown,Role in cellular structure; further study required.
CCDC183-AS1,No,Unknown,,RNA,Nucleus,Long non-coding RNA; potential regulatory role.
RABL6,Yes,Oncogene,Ras Signaling ,Protein,Cytoplasm,Regulates cell proliferation and survival; associated with cancer.
NCLP1,No,Unknown,,Protein,Cytoplasm,Likely involved in nucleocytoplasmic transport; further insights needed.
MIR4292,Yes,Neither,Mirna Regulatory ,miRNA,Nucleus,Involved in gene expression regulation and potentially tumor biology.
AJM1,No,Tumor Suppressor,Cell Adhesion ,Protein,Membrane,Plays a role in maintaining cell polarity and adhesion.
PHPT1,No,Tumor Suppressor,,Protein,Cytoplasm,Potential role in cell signaling; functions not fully characterized.
MAMDC4,No,Unknown,,Protein,Unknown,Potential role in development; further exploration needed.
EDF1,No,Unknown,,Protein,Nucleus,Likely involved in transcriptional regulation; role in cancer unclear.
TRAF2,Yes,Oncogene,Tnf Signaling ,Protein,Cytoplasm,Involved in immune response regulation; potential role in cancer progression.
MIR4479,Yes,Neither,Mirna Regulatory ,miRNA,Nucleus,Involvement in post-transcriptional regulation; function in cancer biology uncertain.
FBXW5,No,Neither,,Protein,Cytoplasm,Involved in protein ubiquitination and degradation; role in cancer not fully defined.
C8G,No,Neither,Immune Response ,Protein,Extracellular,Functions mainly in immune responses; no direct link to cancer established.
LCN12,No,Neither,,Protein,Extracellular,Involved in lipid transport; potential roles in inflammation.
LINC02692,No,Neither,,RNA,Nucleus,Long non-coding RNA with emerging roles in gene regulation.
PTGDS,No,Tumor Suppressor,Prostaglandin Signaling,Protein,Cytoplasm,Involved in the production of prostaglandins; role in cancer is being studied.
LCNL1,No,Neither,,Protein,Unknown,Functional role and cancer association not clearly defined.
PAXX,Yes,No,Dna Repair,Protein,Nucleus,Involved in DNA damage response and repair mechanisms.
CLIC3,No,Potential Oncogene,Ion Transport,Ion Channel,Membrane,Involvement in ion transport and potential signaling roles
ABCA2,No,No,Lipid Transport,Transporter,Membrane,Functions in lipid transport; potential role in cell signaling
LINC02908,No,Unknown,,Non-coding RNA,Nucleus,Role often linked to gene regulation; specific role in cancer unknown
FUT7,No,No,Glycosylation ,Glycosyltransferase,Golgi Apparatus,Catalyzes fucosylation of glycoproteins; potential immune modulation
NPDC1,No,Unknown,,Protein,Cytoplasm,Role in neuronal development; unclear involvement in cancer
ENTPD2,No,No,Metabolism,Nucleotide Triphosphate Hydrolase,Membrane,Regulates nucleotide levels; role in cellular signaling and metabolism
SAPCD2,No,Unknown,,Protein,Plasma Membrane,Function not well characterized; potential involvement in cell signaling
UAP1L1,No,Unknown,Carbohydrate Metabolism,Enzyme,Cytoplasm,Involved in UDP-GlcNAc biosynthesis; possible regulation of glycosylation
MAN1B1-DT,No,Unknown,,Non-coding RNA,Nucleus,Little known functional role; possible regulatory functions through RNA
MAN1B1,No,No,Glycan Processing,Glycosyltransferase,Endoplasmic Reticulum,Involved in N-glycan processing; may play roles in protein folding
DPP7,No,Unknown,Signaling ,Peptidase,Cytoplasm,Involved in peptide metabolism; potential role in immune responses
GRIN1,No,No,Neurotransmission,Receptor,Membrane,NMDA receptor subunit; involved in synaptic transmission
LRRC26,No,No,Calcium Signaling,Protein,Membrane,Associated with calcium signaling networks; potential regulatory roles
MIR3621,No,Unknown,,MicroRNA,Nucleus/Cytoplasm,Involved in post-transcriptional regulation of gene expression
TMEM210,No,Unknown,,Protein,Membrane,Potentially involved in cellular transport mechanisms; limited data
ANAPC2,No,No,Cell Cycle,Ubiquitin Ligase,Cytoplasm,Part of the APC/C complex; plays a crucial role in cell cycle regulation
SSNA1,No,Unknown,,Protein,Cytoplasm,Associate with stress granules; functional role in cancer unclear
TPRN,No,Unknown,,Protein,Cytoplasm,Function unclear; potential roles in cellular assembly and organization
TMEM203,No,Unknown,,Protein,Membrane,Role not characterized; potential involvement in membrane dynamics
NDOR1,No,Tumor Suppressor,Metabolism,Flavoprotein,Mitochondria,Involved in the reduction of NADP+ and electron transport.
RNF208,Yes,Oncogene,Ubiquitin-Proteasome ,E3 ubiquitin ligase,Cytoplasm,Regulates protein degradation and cellular processes.
CYSRT1,No,Unknown,,Cysteine-rich protein,Cytoplasm,Involved in modulation of signaling pathways.
RNF224,No,Unknown,,E3 ubiquitin ligase,Cytoplasm,May play a role in regulating protein function via ubiquitination
SLC34A3,No,Tumor Suppressor,Phosphate Metabolism,Transporter,Plasma membrane,Mediates sodium-dependent phosphate transport.
TUBB4B,Yes,Oncogene,Cytoskeletal Dynamics,Tubulin,Cytoplasm,Forms microtubules critical for cell shape and division.
FAM166A,No,Unknown,,Unknown,Unknown,Potential role in cellular signaling and adhesion.
STPG3,No,Unknown,,Unknown,Unknown,Likely involved in cellular responses; specific roles unclear.
NELFB,No,Tumor Suppressor,Transcription Regulation,Protein,Nucleus,Plays a role in RNA polymerase II transcription regulation.
TOR4A,No,Unknown,,Protein,Cytoplasm,Involved in various cellular processes; functions unclear.
NRARP,No,Tumor Suppressor,Notch Signaling ,Protein,Cytoplasm/Nucleus,Regulates Notch signaling and cellular differentiation.
EXD3,No,Unknown,Rna Metabolism,Exonuclease,Nucleus,Involved in RNA degradation and processing.
NOXA1,Yes,Oncogene,Apoptosis,Protein,Cytoplasm,Promotes apoptosis in response to stress; involved in cell death
ENTPD8,No,Unknown,Purine Metabolism,Nucleotide diphosphatase,Cytoplasm,Involved in nucleotide metabolism and regulation.
NSMF,No,Unknown,,Unknown,Unknown,Role in cell signaling; functions not well characterized.
PNPLA7,No,Unknown,Lipid Metabolism,Lipid hydrolase,Cytoplasm,Involved in phospholipid metabolism and homeostasis.
MRPL41,No,Tumor Suppressor,Mitochondrial Function,Mitochondrial ribosomal protein,Mitochondria,Essential for mitochondrial protein synthesis.
DPH7,No,Unknown,Rna Modification,Protein,Cytoplasm/Nucleus,Involved in the modification of nascent RNA and tRNA synthesis
ZMYND19,No,Unknown,Transcription Regulation,Zinc finger protein,Nucleus,Regulates transcription and chromatin remodeling.
ARRDC1,No,Unknown,Endocytic ,Adapter protein,Cytoplasm,Involved in endocytosis and maintaining cellular homeostasis.
ARRDC1-AS1,No,Neither,,Non-coding RNA,Nucleus,Regulation of gene expression
EHMT1,Yes,Tumor Suppressor,Methylation/Dna Repair,Enzyme (methyltransferase),Nucleus,"Histone methylation, gene silencing"
SETP5,No,Oncogene,Signal Transduction,Protein,Cytoplasm,Cell signaling and transcription regulation
MIR602,No,Neither,Microrna ,Non-coding RNA,Cytoplasm,Regulation of gene expression via miRNA
